sample_no,time,current
170,8.5e-08,0.00190901
171,8.55e-08,2.15946e-05
172,8.6e-08,3.53817e-07
173,8.65e-08,3.53817e-07
174,8.7e-08,3.53817e-07
175,8.75e-08,3.53817e-07
176,8.8e-08,3.53817e-07
177,8.85e-08,3.53817e-07
178,8.9e-08,3.53817e-07
179,8.95e-08,0.000130313
180,9e-08,0.000914184
181,9.05e-08,3.53817e-07
182,9.1e-08,3.53817e-07
183,9.15e-08,3.53817e-07
184,9.2e-08,3.53817e-07
185,9.25e-08,3.53817e-07
186,9.3e-08,3.53817e-07
187,9.35e-08,3.53817e-07
188,9.4e-08,3.53817e-07
189,9.45e-08,0.000293377
190,9.5e-08,0.00198136
191,9.55e-08,2.41709e-05
192,9.6e-08,3.53817e-07
193,9.65e-08,3.53817e-07
194,9.7e-08,3.53817e-07
195,9.75e-08,3.53817e-07
196,9.8e-08,3.53817e-07
197,9.85e-08,3.53817e-07
198,9.9e-08,3.53817e-07
199,9.95e-08,0.000130311
200,1e-07,0.000914186
201,1.005e-07,3.53817e-07
202,1.01e-07,3.53817e-07
203,1.015e-07,3.53817e-07
204,1.02e-07,3.53817e-07
205,1.025e-07,3.53817e-07
206,1.03e-07,3.53817e-07
207,1.035e-07,3.53817e-07
208,1.04e-07,3.53817e-07
209,1.045e-07,0.000296232
210,1.05e-07,0.00193773
211,1.055e-07,2.70404e-05
212,1.06e-07,3.53817e-07
213,1.065e-07,3.53817e-07
214,1.07e-07,3.53817e-07
215,1.075e-07,3.53817e-07
216,1.08e-07,3.53817e-07
217,1.085e-07,3.53817e-07
218,1.09e-07,3.53817e-07
219,1.095e-07,0.000130308
220,1.1e-07,0.000914188
221,1.105e-07,3.53817e-07
222,1.11e-07,3.53817e-07
223,1.115e-07,3.53817e-07
224,1.12e-07,3.53817e-07
225,1.125e-07,3.53817e-07
226,1.13e-07,3.53817e-07
227,1.135e-07,3.53817e-07
228,1.14e-07,3.53817e-07
229,1.145e-07,0.000323228
230,1.15e-07,0.00198585
231,1.155e-07,2.47029e-05
232,1.16e-07,3.53817e-07
233,1.165e-07,3.53817e-07
234,1.17e-07,3.53817e-07
235,1.175e-07,3.53817e-07
236,1.18e-07,3.53817e-07
237,1.185e-07,3.53817e-07
238,1.19e-07,3.53817e-07
239,1.195e-07,0.000130306
240,1.2e-07,0.00091419
241,1.205e-07,3.53817e-07
242,1.21e-07,3.53817e-07
243,1.215e-07,3.53817e-07
244,1.22e-07,3.53817e-07
245,1.225e-07,3.53817e-07
246,1.23e-07,3.53817e-07
247,1.235e-07,3.53817e-07
248,1.24e-07,3.53817e-07
249,1.245e-07,0.000304074
250,1.25e-07,0.00196213
251,1.255e-07,2.48294e-05
252,1.26e-07,3.53817e-07
253,1.265e-07,3.53817e-07
254,1.27e-07,3.53817e-07
255,1.275e-07,3.53817e-07
256,1.28e-07,3.53817e-07
257,1.285e-07,3.53817e-07
258,1.29e-07,3.53817e-07
259,1.295e-07,0.000130304
260,1.3e-07,0.000914193
261,1.305e-07,3.53817e-07
262,1.31e-07,3.53817e-07
263,1.315e-07,3.53817e-07
264,1.32e-07,3.53817e-07
265,1.325e-07,3.53817e-07
266,1.33e-07,3.53817e-07
267,1.335e-07,3.53817e-07
268,1.34e-07,3.53817e-07
269,1.345e-07,0.000294527
270,1.35e-07,0.00195926
271,1.355e-07,2.26262e-05
272,1.36e-07,3.53817e-07
273,1.365e-07,3.53817e-07
274,1.37e-07,3.53817e-07
275,1.375e-07,3.53817e-07
276,1.38e-07,3.53817e-07
277,1.385e-07,3.53817e-07
278,1.39e-07,3.53817e-07
279,1.395e-07,0.000130302
280,1.4e-07,0.000914195
281,1.405e-07,3.53817e-07
282,1.41e-07,3.53817e-07
283,1.415e-07,3.53817e-07
284,1.42e-07,3.53817e-07
285,1.425e-07,3.53817e-07
286,1.43e-07,3.53817e-07
287,1.435e-07,3.53817e-07
288,1.44e-07,3.53817e-07
289,1.445e-07,0.00030486
290,1.45e-07,0.00205817
291,1.455e-07,2.52458e-05
292,1.46e-07,3.53817e-07
293,1.465e-07,3.53817e-07
294,1.47e-07,3.53817e-07
295,1.475e-07,3.53817e-07
296,1.48e-07,3.53817e-07
297,1.485e-07,3.53817e-07
298,1.49e-07,3.53817e-07
299,1.495e-07,0.000376885
300,1.5e-07,0.001521
301,1.505e-07,3.53817e-07
302,1.51e-07,3.53817e-07
303,1.515e-07,3.53817e-07
304,1.52e-07,3.53817e-07
305,1.525e-07,3.53817e-07
306,1.53e-07,3.53817e-07
307,1.535e-07,3.53817e-07
308,1.54e-07,3.53817e-07
309,1.545e-07,8.66875e-05
310,1.55e-07,0.00070581
311,1.555e-07,1.27676e-06
312,1.56e-07,3.53817e-07
313,1.565e-07,3.53817e-07
314,1.57e-07,3.53817e-07
315,1.575e-07,3.53817e-07
316,1.58e-07,3.53817e-07
317,1.585e-07,3.53817e-07
318,1.59e-07,3.53817e-07
319,1.595e-07,0.000132698
320,1.6e-07,0.000910688
321,1.605e-07,3.53817e-07
322,1.61e-07,3.53817e-07
323,1.615e-07,3.53817e-07
324,1.62e-07,3.53817e-07
325,1.625e-07,3.53817e-07
326,1.63e-07,3.53817e-07
327,1.635e-07,3.53817e-07
328,1.64e-07,3.53817e-07
329,1.645e-07,8.65279e-05
330,1.65e-07,0.000692362
331,1.655e-07,3.53817e-07
332,1.66e-07,3.53817e-07
333,1.665e-07,3.53817e-07
334,1.67e-07,3.53817e-07
335,1.675e-07,3.53817e-07
336,1.68e-07,3.53817e-07
337,1.685e-07,3.53817e-07
338,1.69e-07,3.53817e-07
339,1.695e-07,0.000137502
340,1.7e-07,0.000921161
341,1.705e-07,3.53817e-07
342,1.71e-07,3.53817e-07
343,1.715e-07,3.53817e-07
344,1.72e-07,3.53817e-07
345,1.725e-07,3.53817e-07
346,1.73e-07,3.53817e-07
347,1.735e-07,3.53817e-07
348,1.74e-07,3.53817e-07
349,1.745e-07,8.65819e-05
350,1.75e-07,0.00070233
351,1.755e-07,5.65734e-07
352,1.76e-07,3.53817e-07
353,1.765e-07,3.53817e-07
354,1.77e-07,3.53817e-07
355,1.775e-07,3.53817e-07
356,1.78e-07,3.53817e-07
357,1.785e-07,3.53817e-07
358,1.79e-07,3.53817e-07
359,1.795e-07,0.000162745
360,1.8e-07,0.000991533
361,1.805e-07,3.54357e-07
362,1.81e-07,3.53817e-07
363,1.815e-07,3.53817e-07
364,1.82e-07,3.53817e-07
365,1.825e-07,3.53817e-07
366,1.83e-07,3.53817e-07
367,1.835e-07,3.53817e-07
368,1.84e-07,3.53817e-07
369,1.845e-07,8.65244e-05
370,1.85e-07,0.000692366
371,1.855e-07,3.53817e-07
372,1.86e-07,3.53817e-07
373,1.865e-07,3.53817e-07
374,1.87e-07,3.53817e-07
375,1.875e-07,3.53817e-07
376,1.88e-07,3.53817e-07
377,1.885e-07,3.53817e-07
378,1.89e-07,3.53817e-07
379,1.895e-07,0.000413833
380,1.9e-07,0.00154376
381,1.905e-07,3.53817e-07
382,1.91e-07,3.53817e-07
383,1.915e-07,3.53817e-07
384,1.92e-07,3.53817e-07
385,1.925e-07,3.53817e-07
386,1.93e-07,3.53817e-07
387,1.935e-07,3.53817e-07
388,1.94e-07,3.53817e-07
389,1.945e-07,0.00037911
390,1.95e-07,0.00210334
391,1.955e-07,2.54571e-05
392,1.96e-07,3.53817e-07
393,1.965e-07,3.53817e-07
394,1.97e-07,3.53817e-07
395,1.975e-07,3.53817e-07
396,1.98e-07,3.53817e-07
397,1.985e-07,3.53817e-07
398,1.99e-07,3.53817e-07
399,1.995e-07,0.000130289
400,2e-07,0.000914208
401,2.005e-07,3.53817e-07
402,2.01e-07,3.53817e-07
403,2.015e-07,3.53817e-07
404,2.02e-07,3.53817e-07
405,2.025e-07,3.53817e-07
406,2.03e-07,3.53817e-07
407,2.035e-07,3.53817e-07
408,2.04e-07,3.53817e-07
409,2.045e-07,0.000308536
410,2.05e-07,0.00202577
411,2.055e-07,2.63432e-05
412,2.06e-07,3.53817e-07
413,2.065e-07,3.53817e-07
414,2.07e-07,3.53817e-07
415,2.075e-07,3.53817e-07
416,2.08e-07,3.53817e-07
417,2.085e-07,3.53817e-07
418,2.09e-07,3.53817e-07
419,2.095e-07,0.000130287
420,2.1e-07,0.00091421
421,2.105e-07,3.53817e-07
422,2.11e-07,3.53817e-07
423,2.115e-07,3.53817e-07
424,2.12e-07,3.53817e-07
425,2.125e-07,3.53817e-07
426,2.13e-07,3.53817e-07
427,2.135e-07,3.53817e-07
428,2.14e-07,3.53817e-07
429,2.145e-07,0.000302718
430,2.15e-07,0.00195314
431,2.155e-07,2.33273e-05
432,2.16e-07,3.53817e-07
433,2.165e-07,3.53817e-07
434,2.17e-07,3.53817e-07
435,2.175e-07,3.53817e-07
436,2.18e-07,3.53817e-07
437,2.185e-07,3.53817e-07
438,2.19e-07,3.53817e-07
439,2.195e-07,0.000130284
440,2.2e-07,0.000914212
441,2.205e-07,3.53817e-07
442,2.21e-07,3.53817e-07
443,2.215e-07,3.53817e-07
444,2.22e-07,3.53817e-07
445,2.225e-07,3.53817e-07
446,2.23e-07,3.53817e-07
447,2.235e-07,3.53817e-07
448,2.24e-07,3.53817e-07
449,2.245e-07,0.000307431
450,2.25e-07,0.00194148
451,2.255e-07,2.33393e-05
452,2.26e-07,3.53817e-07
453,2.265e-07,3.53817e-07
454,2.27e-07,3.53817e-07
455,2.275e-07,3.53817e-07
456,2.28e-07,3.53817e-07
457,2.285e-07,3.53817e-07
458,2.29e-07,3.53817e-07
459,2.295e-07,0.000130282
460,2.3e-07,0.000914214
461,2.305e-07,3.53817e-07
462,2.31e-07,3.53817e-07
463,2.315e-07,3.53817e-07
464,2.32e-07,3.53817e-07
465,2.325e-07,3.53817e-07
466,2.33e-07,3.53817e-07
467,2.335e-07,3.53817e-07
468,2.34e-07,3.53817e-07
469,2.345e-07,0.00029626
470,2.35e-07,0.00196025
471,2.355e-07,2.45559e-05
472,2.36e-07,3.53817e-07
473,2.365e-07,3.53817e-07
474,2.37e-07,3.53817e-07
475,2.375e-07,3.53817e-07
476,2.38e-07,3.53817e-07
477,2.385e-07,3.53817e-07
478,2.39e-07,3.53817e-07
479,2.395e-07,0.00013028
480,2.4e-07,0.000914217
481,2.405e-07,3.53817e-07
482,2.41e-07,3.53817e-07
483,2.415e-07,3.53817e-07
484,2.42e-07,3.53817e-07
485,2.425e-07,3.53817e-07
486,2.43e-07,3.53817e-07
487,2.435e-07,3.53817e-07
488,2.44e-07,3.53817e-07
489,2.445e-07,0.000300632
490,2.45e-07,0.00193514
491,2.455e-07,2.35298e-05
492,2.46e-07,3.53817e-07
493,2.465e-07,3.53817e-07
494,2.47e-07,3.53817e-07
495,2.475e-07,3.53817e-07
496,2.48e-07,3.53817e-07
497,2.485e-07,3.53817e-07
498,2.49e-07,3.53817e-07
499,2.495e-07,0.000130278
500,2.5e-07,0.000914219
501,2.505e-07,3.53817e-07
502,2.51e-07,3.53817e-07
503,2.515e-07,3.53817e-07
504,2.52e-07,3.53817e-07
505,2.525e-07,3.53817e-07
506,2.53e-07,3.53817e-07
507,2.535e-07,3.53817e-07
508,2.54e-07,3.53817e-07
509,2.545e-07,0.000294248
510,2.55e-07,0.00189289
511,2.555e-07,2.35129e-05
512,2.56e-07,3.53817e-07
513,2.565e-07,3.53817e-07
514,2.57e-07,3.53817e-07
515,2.575e-07,3.53817e-07
516,2.58e-07,3.53817e-07
517,2.585e-07,3.53817e-07
518,2.59e-07,3.53817e-07
519,2.595e-07,0.000130276
520,2.6e-07,0.000914221
521,2.605e-07,3.53817e-07
522,2.61e-07,3.53817e-07
523,2.615e-07,3.53817e-07
524,2.62e-07,3.53817e-07
525,2.625e-07,3.53817e-07
526,2.63e-07,3.53817e-07
527,2.635e-07,3.53817e-07
528,2.64e-07,3.53817e-07
529,2.645e-07,0.000326002
530,2.65e-07,0.00196981
531,2.655e-07,2.44822e-05
532,2.66e-07,3.53817e-07
533,2.665e-07,3.53817e-07
534,2.67e-07,3.53817e-07
535,2.675e-07,3.53817e-07
536,2.68e-07,3.53817e-07
537,2.685e-07,3.53817e-07
538,2.69e-07,3.53817e-07
539,2.695e-07,0.000130273
540,2.7e-07,0.000914223
541,2.705e-07,3.53817e-07
542,2.71e-07,3.53817e-07
